epoch;acc_x;acc_y
1940.1151;0.11943;0.21848
1940.3318;0.14646;0.24734
1940.5485;0.18939;0.23548
1940.7652;0.26;0.19138
1940.9819;0.31345;0.15368
1941.1986;0.32619;0.12235
1941.4153;0.2802;0.12917
1941.632;0.22625;0.16323
1941.8487;0.19445;0.18417
1942.0654;0.18961;0.16819
1942.2821;0.15898;0.12912
1942.4988;0.08304;0.07281
1942.7155;-0.02872;0.00686
1942.9322;-0.12301;-0.03132
1943.1489;-0.17365;-0.03919
1943.3656;-0.19888;-0.05215
1943.5823;-0.23297;-0.06804
1943.799;-0.29413;-0.06856
1944.0157;-0.35017;-0.10426
1944.2324;-0.36238;-0.15295
1944.4491;-0.31688;-0.16676
1944.6658;-0.24701;-0.19144
1944.8825;-0.19104;-0.21791
1945.0992;-0.13827;-0.2002
1945.3159;-0.08706;-0.17336
1945.5326;-0.00704;-0.17278
1945.7493;0.08734;-0.1615
1945.966;0.18531;-0.12505
1946.1827;0.25221;-0.11266
1946.3994;0.28535;-0.10882
1946.6161;0.30411;-0.08009
1946.8328;0.32388;-0.06997
1947.0495;0.35011;-0.05784
1947.2662;0.34159;-0.01417
1947.4829;0.3029;0.04407
1947.6996;0.23179;0.08442
1947.9163;0.15759;0.11429
1948.133;0.0929;0.14339
1948.3497;0.02551;0.13213
1948.5664;-0.05544;0.12115
1948.7831;-0.16204;0.15069
1948.9998;-0.24835;0.18396
1949.2165;-0.315;0.20691
1949.4332;-0.34461;0.22038
1949.6499;-0.36691;0.2237
1949.8666;-0.3703;0.18965
1950.0833;-0.35351;0.15041
1950.3;-0.31693;0.13082
1950.5167;-0.24864;0.11034
1950.7334;-0.15949;0.09108
1950.9501;-0.06686;0.08713
1951.1668;0.02454;0.09181
1951.3835;0.11357;0.05628
1951.6002;0.19802;0.00985
1951.8169;0.25795;-0.01058
1952.0336;0.30789;-0.05204
1952.2503;0.33835;-0.08836
1952.467;0.35839;-0.08111
1952.6837;0.34534;-0.08722
1952.9004;0.30625;-0.11691
1953.1171;0.2426;-0.12041
1953.3338;0.18054;-0.13981
1953.5505;0.1227;-0.18399
1953.7672;0.0605;-0.19264
1953.9839;-0.01207;-0.17881
1954.2006;-0.09016;-0.16394
1954.4173;-0.16476;-0.14573
1954.634;-0.23257;-0.118
1954.8507;-0.27312;-0.10752
1955.0674;-0.29257;-0.11479
1955.2841;-0.3003;-0.0969
1955.5008;-0.31544;-0.07485
1955.7175;-0.3146;-0.05713
1955.9342;-0.27979;-0.02049
1956.1509;-0.21139;0.03367
1956.3676;-0.12375;0.05854
1956.5843;-0.04776;0.06893
1956.801;0.02131;0.08494
1957.0177;0.07438;0.07855
1957.2344;0.14665;0.07194
1957.4511;0.22224;0.0864
1957.6678;0.29077;0.11056
1957.8845;0.31583;0.12916
1958.1012;0.30043;0.14808
1958.3179;0.28137;0.15263
1958.5346;0.26236;0.11968
1958.7513;0.24347;0.08142
1958.968;0.19627;0.05291
1959.1847;0.13169;0.03514
1959.4014;0.04403;0.03547
1959.6181;-0.03212;0.04458
1959.8348;-0.0894;0.04599
1960.0515;-0.13675;0.02392
1960.2682;-0.18549;-0.00664
1960.4849;-0.23735;-0.04631
1960.7016;-0.27482;-0.08067
1960.9183;-0.28884;-0.09758
1961.135;-0.27338;-0.09376
1961.3517;-0.24267;-0.07312
1961.5684;-0.2143;-0.06199
1961.7851;-0.17907;-0.0595
1962.0018;-0.13656;-0.07154
1962.2185;-0.07479;-0.08895
1962.4352;-0.00529;-0.10738
1962.6519;0.06579;-0.10682
1962.8686;0.13009;-0.09184
1963.0853;0.18232;-0.06195
1963.302;0.2164;-0.01906
1963.5187;0.24139;0.01603
1963.7354;0.26425;0.02941
1963.9521;0.27081;0.0234
1964.1688;0.24901;0.01472
1964.3855;0.20244;0.01081
1964.6022;0.14323;0.01977
1964.8189;0.0948;0.06068
